age,education,balance,housing,loan,duration,campaign,pdays,poutcome,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,subscribed
50.0,2,49,1,0,180.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54.0,2,529,1,0,1492.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36.0,1,-171,1,0,242.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58.0,3,-364,1,0,355.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44.0,2,0,1,0,225.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
55.0,2,0,0,0,160.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29.0,3,0,1,0,363.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
54.0,2,1291,1,0,266.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48.0,3,-244,1,0,253.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32.0,3,0,1,0,179.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42.0,2,-76,1,0,787.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24.0,2,-103,1,1,145.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38.0,3,243,0,1,174.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38.0,3,424,1,0,104.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46.0,1,179,1,0,258.341352164853,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32.0,3,0,1,0,138.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,989,1,0,812.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57.0,1,249,1,0,164.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,2,790,1,0,391.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51.0,3,6530,1,0,91.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60.0,3,100,0,0,528.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
59.0,3,59,1,0,273.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55.0,2,1205,1,0,158.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35.0,2,12223,1,1,177.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
57.0,2,5935,1,1,258.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31.0,2,25,1,1,172.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,2,282,1,1,154.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55.0,1,23,1,0,291.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43.0,2,1937,1,0,181.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
53.0,2,384,1,0,176.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44.0,2,582,0,1,211.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,2,91,0,0,349.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
49.0,2,0,1,1,272.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55.0,2,1,1,0,208.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45.0,2,206,1,0,193.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47.0,2,164,0,0,212.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42.0,2,690,1,0,20.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59.0,2,2343,1,0,1042.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
46.0,3,137,1,1,246.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51.0,1,173,1,0,529.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56.0,2,45,0,0,1467.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.0,2,1270,1,0,1389.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
46.0,2,16,1,1,188.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57.0,2,486,1,0,180.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
42.0,2,50,0,0,48.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30.0,2,152,1,1,213.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
60.0,2,290,1,0,583.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57.0,2,-37,0,0,173.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36.0,3,101,1,1,426.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55.0,2,383,0,0,287.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60.0,3,81,1,0,101.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.0,2,0,1,0,203.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
46.0,3,229,1,0,197.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44.0,2,-674,1,0,257.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,1,90,0,0,124.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,1,128,1,0,229.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,1,179,1,0,55.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27.0,3,0,1,0,400.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44.0,2,54,1,0,197.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
47.0,3,151,1,0,190.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
34.0,2,61,0,1,21.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,2,30,1,0,514.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45.0,3,523,1,0,849.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29.0,2,31,1,0,194.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46.0,2,79,0,0,144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56.0,1,-34,1,1,212.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36.0,1,448,1,0,286.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,1,81,1,0,107.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44.0,2,144,1,0,247.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41.0,2,351,1,0,518.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,3,-67,1,0,364.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
59.0,3,262,0,0,178.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57.0,1,0,0,0,98.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
51.0,2,26,1,0,79.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43.0,2,41,1,1,127.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52.0,3,7,0,1,175.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33.0,2,105,1,0,262.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29.0,2,818,1,1,61.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.0,2,-16,1,1,78.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
31.0,2,0,1,0,143.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,2,2476,1,0,579.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
32.0,2,217,1,0,345.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38.0,2,1685,1,0,185.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55.0,2,802,1,1,100.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,3,0,1,0,125.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
23.0,2,94,1,0,193.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32.0,2,0,1,0,136.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,2,517,1,0,528.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46.0,2,265,1,0,541.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,1,947,1,0,163.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34.0,2,3,1,0,301.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
57.0,3,42,0,0,46.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37.0,2,37,1,0,204.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,2,57,1,0,98.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,2,22,1,0,71.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
56.0,1,8,1,0,157.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
48.0,2,293,1,0,243.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
43.0,1,3,1,0,186.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,1,348,1,0,579.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26.0,2,0,1,0,610.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40.0,3,-4,1,0,258.341352164853,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39.0,2,18,1,0,85.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50.0,1,139,0,0,114.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
41.0,2,0,1,0,114.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60.0,2,216,1,0,238.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52.0,2,782,1,0,93.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48.0,2,904,1,0,128.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39.0,3,47,1,0,181.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47.0,2,176,1,0,303.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40.0,2,1225,1,0,558.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45.0,2,86,1,0,270.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26.0,2,82,1,0,228.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52.0,3,271,1,0,99.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54.0,2,1378,1,0,240.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54.0,3,184,0,0,673.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50.0,1,0,0,0,233.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,2,0,1,0,1056.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,2,1357,1,1,250.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35.0,1,434,0,0,138.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
60.0,2,92,1,0,130.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53.0,2,1151,1,0,412.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.0,2,41,1,0,179.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34.0,2,51,1,0,19.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54.0,2,214,1,0,458.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51.0,2,1161,1,0,717.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31.0,3,37,1,0,313.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35.0,2,787,1,0,683.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35.0,2,59,1,0,1077.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38.0,2,253,1,0,416.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36.0,3,211,1,0,146.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58.0,1,235,1,0,167.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54.0,2,4080,0,0,140.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34.0,2,53,1,1,346.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,3,0,1,0,562.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51.0,2,2127,1,0,172.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33.0,3,377,1,0,217.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55.0,3,73,1,0,142.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42.0,2,445,1,0,67.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,2,243,1,0,291.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,2,307,1,0,309.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38.0,2,155,1,0,248.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50.0,3,173,0,1,98.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43.0,3,400,1,0,256.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61.0,1,1428,1,0,82.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47.0,2,219,1,0,577.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.0,3,7,1,0,286.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44.0,2,575,1,0,477.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,2,0,1,0,471.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50.0,2,5699,1,0,381.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.0,3,176,1,1,42.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41.0,3,517,1,0,251.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42.0,2,56,1,0,215.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38.0,2,-390,1,0,287.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,330,1,0,216.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
59.0,1,195,0,0,366.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36.0,2,301,1,0,210.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,1,-41,1,0,288.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40.0,3,483,1,0,168.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
46.0,1,965,0,0,177.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39.0,3,378,1,1,127.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40.0,2,219,1,0,357.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28.0,1,324,1,0,175.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,2,-69,1,0,300.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55.0,2,0,0,1,136.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
48.0,1,278,1,0,125.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,3,34,1,0,27.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53.0,2,1467,1,0,124.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
47.0,1,-12,1,0,18.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31.0,2,388,1,0,730.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
57.0,2,294,1,0,746.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55.0,1,627,1,0,247.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45.0,1,25,1,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,315,1,0,181.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.0,1,0,1,0,79.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,2,66,1,0,206.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49.0,1,-9,1,1,389.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46.0,2,349,1,1,127.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38.0,2,0,0,0,151.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43.0,2,434,1,0,117.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49.0,3,3237,1,0,232.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22.0,2,0,1,0,179.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
40.0,3,207,1,0,39.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39.0,2,483,1,0,282.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51.0,2,2248,1,0,714.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
49.0,2,428,1,0,50.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,0,1,1,181.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,2,0,1,0,142.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33.0,2,140,1,0,227.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
50.0,3,297,1,0,119.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39.0,1,279,1,0,361.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,2,901,1,0,73.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30.0,2,2573,1,0,67.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,2,143,1,1,350.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40.0,2,475,1,0,332.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,70,1,0,611.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,3,318,1,0,113.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
37.0,2,275,1,0,132.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42.0,3,742,1,0,58.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
41.0,1,236,1,0,151.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30.0,3,25,1,0,89.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37.0,3,600,1,0,152.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39.0,2,-349,1,0,611.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41.0,1,183,1,1,110.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40.0,1,0,1,0,463.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42.0,3,0,1,1,562.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
40.0,1,0,1,0,962.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
57.0,2,1078,1,0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56.0,2,155,0,0,118.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37.0,2,190,1,0,92.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,2,319,1,0,143.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.0,2,-185,1,0,189.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
49.0,2,47,0,0,234.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38.0,2,570,1,0,75.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36.0,3,19,0,0,189.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
50.0,1,61,1,0,621.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41.0,2,-62,1,1,55.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
